No.,ISOCode,City,WaveID,Cases,BeingTreated,Recover,Deaths,Self-isolate,1.V.12..17Age,2.V.12..17Age,1.V.18+Age,2.V.18+Age,3.V.18+Age,4.V.18+Age,1.V.5..11Age
1,VN-HN ,Ba Đình,4,9073,8401,657,15,0,0,0,0,0,0,0,0
2,VN-HN ,Cầu Diễn,4,0,0,0,0,0,0,0,0,0,0,0,0
3,VN-HN ,Cầu Giấy,4,7524,6994,518,12,0,0,0,0,0,0,0,0
4,VN-HN ,Chúc Sơn,4,0,0,0,0,0,0,0,0,0,0,0,0
5,VN-HN ,Đại Nghĩa,4,0,0,0,0,0,0,0,0,0,0,0,0
6,VN-HN ,Đông Anh,4,18456,17166,1256,34,0,0,0,0,0,0,0,0
7,VN-HN ,Đống Đa,4,15689,10054,5600,35,0,0,0,0,0,0,0,0
8,VN-HN ,Hà Đông,4,10773,6031,4700,42,0,0,0,0,0,0,0,0
9,VN-HN ,Hai Bà Trưng,4,12002,6162,5789,51,0,0,0,0,0,0,0,0
10,VN-HN ,Hoàn Kiếm,4,8123,3500,4560,63,0,0,0,0,0,0,0,0
11,VN-HN ,Kim Bài,4,0,0,0,0,0,0,0,0,0,0,0,0
12,VN-HN ,Liên Quan,4,0,0,0,0,0,0,0,0,0,0,0,0
13,VN-HN ,Mê Linh,4,9261,8419,764,78,0,0,0,0,0,0,0,0
14,VN-HN ,Phú Xuyên,4,4345,3521,812,12,0,0,0,0,0,0,0,0
15,VN-HN ,Phúc Thọ,4,4226,3625,569,32,0,0,0,0,0,0,0,0
16,VN-HN ,Phùng,4,0,0,0,0,0,0,0,0,0,0,0,0
17,VN-HN ,Quốc Oai,4,6464,6152,267,45,0,0,0,0,0,0,0,0
18,VN-HN ,Sóc Sơn,4,12422,11068,1289,65,0,0,0,0,0,0,0,0
19,VN-HN ,Sơn Tây,4,3835,3190,567,78,0,0,0,0,0,0,0,0
20,VN-HN ,Tây Đằng,4,0,0,0,0,0,0,0,0,0,0,0,0
21,VN-HN ,Tây Hồ,4,7666,7397,235,34,0,0,0,0,0,0,0,0
22,VN-HN ,Thanh Xuân,4,12989,12514,456,19,0,0,0,0,0,0,0,0
23,VN-HN ,Thường Tín,4,0,0,0,0,0,0,0,0,0,0,0,0
24,VN-HN ,Trâu Quỳ,4,0,0,0,0,0,0,0,0,0,0,0,0
25,VN-HN ,Trôi,4,0,0,0,0,0,0,0,0,0,0,0,0
26,VN-HN ,Văn Điển,4,0,0,0,0,0,0,0,0,0,0,0,0
27,VN-HN ,Vân Đình,4,0,0,0,0,0,0,0,0,0,0,0,0
28,VN-03 ,Lũng Hồ,4,3,1,2,0,0,0,0,0,0,0,0,0
29,VN-03 ,Mèo Vạc,4,1,1,1,0,0,0,0,0,0,0,0,0
30,VN-03 ,Thị Trấn Đồng Văn,4,0,0,0,0,0,0,0,0,0,0,0,0
31,VN-03 ,Thị Trấn Tam Sơn,4,0,0,0,0,0,0,0,0,0,0,0,0
32,VN-03 ,Thị Trấn Việt Lâm,4,0,0,0,0,0,0,0,0,0,0,0,0
33,VN-03 ,Thị Trấn Việt Quang,4,0,0,0,0,0,0,0,0,0,0,0,0
34,VN-03 ,Thị Trấn Vĩnh Tuy,4,0,0,0,0,0,0,0,0,0,0,0,0
35,VN-03 ,Vị Xuyên,4,0,0,0,0,0,0,0,0,0,0,0,0
36,VN-03 ,Vinh Quang,4,0,0,0,0,0,0,0,0,0,0,0,0
37,VN-03 ,Yên Bình,4,0,0,0,0,0,0,0,0,0,0,0,0
38,VN-03 ,Yên Minh,4,0,0,0,0,0,0,0,0,0,0,0,0
39,VN-03 ,Yên Phú,4,0,0,0,0,0,0,0,0,0,0,0,0
40,VN-04 ,Bảo Lạc,4,0,0,0,0,0,0,0,0,0,0,0,0
41,VN-04 ,Pác Miầu,4,0,0,0,0,0,0,0,0,0,0,0,0
42,VN-04 ,Quảng Uyên,4,0,0,0,0,0,0,0,0,0,0,0,0
43,VN-04 ,Tân Việt,4,0,0,0,0,0,0,0,0,0,0,0,0
44,VN-04 ,Thị Trấn Đông Khê,4,0,0,0,0,0,0,0,0,0,0,0,0
45,VN-04 ,Thị Trấn Hùng Quốc,4,0,0,0,0,0,0,0,0,0,0,0,0
46,VN-04 ,Thị Trấn Nguyên Bình,4,0,0,0,0,0,0,0,0,0,0,0,0
47,VN-04 ,Thị Trấn Nước Hai,4,0,0,0,0,0,0,0,0,0,0,0,0
48,VN-04 ,Thị Trấn Tà Lùng,4,0,0,0,0,0,0,0,0,0,0,0,0
49,VN-04 ,Thị Trấn Thanh Nhật,4,0,0,0,0,0,0,0,0,0,0,0,0
50,VN-04 ,Thị Trấn Xuân Hoà,4,0,0,0,0,0,0,0,0,0,0,0,0
51,VN-04 ,Thông Nông,4,0,0,0,0,0,0,0,0,0,0,0,0
52,VN-04 ,Trùng Khánh,4,0,0,0,0,0,0,0,0,0,0,0,0
53,VN-53 ,Bằng Lũng,4,6,6,0,0,0,0,0,0,0,0,0,0
54,VN-53 ,Bộc Bố,4,6,6,0,0,0,0,0,0,0,0,0,0
55,VN-53 ,Chợ Mới,4,6,6,0,0,0,0,0,0,0,0,0,0
